SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-25-2022,Condo/Co-op,80 Revere St #8,Boston,MA,02114,660000,2,1.0,Beacon Hill,657,,1899,22,1005,440,Sold,,,https://www.redfin.com/MA/Boston/80-Revere-St-02114/unit-8/home/9320043,MLS PIN,72890642,N,Y,42.3593901,-71.0693968
PAST SALE,,Condo/Co-op,1 Charles St S #1002,Boston,MA,02116,1000000,1,1.5,,926,,2004,,1080,,,,,https://www.redfin.com/MA/Boston/1-Charles-St-S-02116/unit-1002/home/9329959,,,N,Y,42.3511754,-71.0673232
PAST SALE,February-24-2022,Condo/Co-op,1 Franklin St #1611,Boston,MA,02110,1205000,1,1.0,Midtown,948,,2016,23,1271,710,Sold,,,https://www.redfin.com/MA/Boston/1-Franklin-St-02110/unit-1611/home/145254437,MLS PIN,72916099,N,Y,42.3553811,-71.0568886
PAST SALE,February-18-2022,Multi-Family (2-4 Unit),89 Tuttle St,Boston,MA,02125,1208888,6,3.0,Dorchester's Savin Hill,3521,4558,1897,29,343,,Sold,,,https://www.redfin.com/MA/Dorchester/89-Tuttle-St-02125/home/9086733,MLS PIN,72877399,N,Y,42.3149734,-71.0529571
PAST SALE,January-21-2022,Condo/Co-op,39 H St #1,Boston,MA,02127,775000,2,1.5,South Boston,1018,,1890,57,761,220,Sold,,,https://www.redfin.com/MA/Boston/39-H-St-02127/unit-1/home/9185975,MLS PIN,72924458,N,Y,42.3366462,-71.0417334
PAST SALE,March-4-2022,Condo/Co-op,58 Telegraph St #1,Boston,MA,02127,540000,2,2.0,South Boston,944,,1880,15,572,204,Sold,,,https://www.redfin.com/MA/Boston/58-Telegraph-St-02127/unit-1/home/9187316,MLS PIN,72892987,N,Y,42.3330494,-71.0484181
PAST SALE,February-7-2022,Condo/Co-op,761 E 6th St #7,Boston,MA,02127,573000,2,1.0,South Boston's City Point,895,895,1972,40,640,343,Sold,,,https://www.redfin.com/MA/Boston/761-E-6th-St-02127/unit-7/home/9191963,MLS PIN,72917244,N,Y,42.3330141,-71.0299977
PAST SALE,February-11-2022,Condo/Co-op,796 Dorchester Ave #1,Boston,MA,02125,435000,3,1.0,Dorchester,976,99999,1905,36,446,363,Sold,,,https://www.redfin.com/MA/Boston/796-Dorchester-Ave-02125/unit-1/home/11833733,MLS PIN,72924321,N,Y,42.3236862,-71.05669
PAST SALE,March-7-2022,Condo/Co-op,21 Wormwood St #517,Boston,MA,02210,889000,1,1.0,Fort Point,1025,1025,1900,12,867,342,Sold,,,https://www.redfin.com/MA/Boston/21-Wormwood-St-02210/unit-517/home/9304200,MLS PIN,72934641,N,Y,42.3471032,-71.0501345
PAST SALE,December-30-2021,Condo/Co-op,156-158 F St #1,Boston,MA,02127,549000,2,1.0,South Boston,610,610,1899,79,900,295,Sold,,,https://www.redfin.com/MA/Boston/156-158-F-St-02127/unit-1/home/113244462,MLS PIN,72908163,N,Y,42.3372112,-71.0475112
